"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"rho_a[2,3]",0.35133431199825,0.35541339,0.0843188686791285,0.08485549905,0.2049542775,0.4836019685,1.01157791123213,646.167101499921,1462.33490736268
"rho_a[3,3]",1,1,0,0,1,1,NA,NA,NA
"rho_c[1,1]",1,1,0,0,1,1,NA,NA,NA
"rho_c[2,1]",0.82898312192,0.8473756,0.0945385178570361,0.0865927059479999,0.6534015605,0.94580496,1.00156838642374,2753.67483968504,2546.92074911212
"rho_c[3,1]",0.70891481467,0.727250215,0.123435584252835,0.12176386236,0.477400846,0.8816181275,1.00233423864506,3606.95680928931,2759.68674522996
"rho_c[1,2]",0.82898312192,0.8473756,0.0945385178570361,0.0865927059479999,0.6534015605,0.94580496,1.00156838642374,2753.67483968504,2546.92074911212
"rho_c[2,2]",1,1,0,0,1,1,NA,NA,NA
"rho_c[3,2]",0.743755071645,0.76253409,0.115548077114927,0.112412614902,0.531155528,0.899103161,1.00039890198822,3099.90860874531,2548.16832107216
"rho_c[1,3]",0.70891481467,0.727250215,0.123435584252835,0.12176386236,0.477400846,0.8816181275,1.00233423864506,3606.95680928931,2759.68674522996
"rho_c[2,3]",0.743755071645,0.76253409,0.115548077114927,0.112412614902,0.531155528,0.899103161,1.00039890198822,3099.90860874531,2548.16832107216
"rho_c[3,3]",1,1,0,0,1,1,NA,NA,NA
"rho_d[1,1]",1,1,0,0,1,1,NA,NA,NA
"rho_d[2,1]",0.430138685829688,0.443990375,0.189947812352713,0.190764259098,0.08555770205,0.7141975375,1.00052205051231,3573.88118878978,2998.84928061647
"rho_d[3,1]",0.594501766501475,0.618375675,0.17251392722864,0.170267032404,0.274870069,0.8344119615,1.00199422381134,3544.01951512988,2951.17077087774
"rho_d[1,2]",0.430138685829688,0.443990375,0.189947812352713,0.190764259098,0.08555770205,0.7141975375,1.00052205051231,3573.88118878978,2998.84928061647
"rho_d[2,2]",1,1,0,0,1,1,NA,NA,NA
"rho_d[3,2]",0.446272061209265,0.466737515,0.184330287029774,0.190212279705,0.122054121,0.7112569185,0.999612279062173,3745.18260052817,3345.58547885033
"rho_d[1,3]",0.594501766501475,0.618375675,0.17251392722864,0.170267032404,0.274870069,0.8344119615,1.00199422381134,3544.01951512988,2951.17077087774
"rho_d[2,3]",0.446272061209265,0.466737515,0.184330287029774,0.190212279705,0.122054121,0.7112569185,0.999612279062173,3745.18260052817,3345.58547885033
"rho_d[3,3]",1,1,0,0,1,1,NA,NA,NA
"sigma",0.0207151967305,0.020710638,0.000218031438367344,0.000217234999799999,0.0203572434,0.02107816125,1.00292686050607,1455.70115847357,2583.49520927921
