index,SessionName,HSM3_Name,phi,n,k,kCorrected,tM,kRef,kTol,Date,FlowRate,Temperature,ColumnID,Column_Manufacturer,Column_Brand,Column_Phase,Column_ParticleSize,Column_PoreSize,Column_Length,Column_InnerDiameter,Column_SerialNumber
63,4_1_2,trans-stilbene,35,3,27.763,27.40202259,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
64,4_1_2,trans-stilbene,35,4,27.5888,27.23008756,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
65,4_1_2,trans-stilbene,35,5,27.7172,27.35681809,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
66,4_1_2,Butyl phenyl ether,60,1,1.59198,1.571280911,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
67,4_1_2,Butyl phenyl ether,60,2,1.58574,1.565122044,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
68,4_1_2,Butyl phenyl ether,60,3,1.57935,1.558815127,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
69,4_1_2,Butyl phenyl ether,60,4,1.58996,1.569287175,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
70,4_1_2,Butyl phenyl ether,60,5,1.59309,1.572376479,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
71,4_1_2,Butyl phenyl ether,50,1,3.34881,3.305268425,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
72,4_1_2,Butyl phenyl ether,50,2,3.32817,3.284896788,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
73,4_1_2,Butyl phenyl ether,50,3,3.33031,3.287008964,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
74,4_1_2,Butyl phenyl ether,50,4,3.32983,3.286535205,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
75,4_1_2,Butyl phenyl ether,50,5,3.3113,3.268246134,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
76,4_1_2,Butyl phenyl ether,40,1,8.00207,7.898026256,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
77,4_1_2,Butyl phenyl ether,40,2,8.00354,7.899477143,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
78,4_1_2,Butyl phenyl ether,40,3,7.93254,7.829400292,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
79,4_1_2,Butyl phenyl ether,40,4,8.00423,7.900158171,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
80,4_1_2,Butyl phenyl ether,40,5,8.01836,7.914104451,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
81,4_1_2,Butyl phenyl ether,35,1,13.0204,12.85110741,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
82,4_1_2,Butyl phenyl ether,35,2,13.0046,12.83551284,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
83,4_1_2,Butyl phenyl ether,35,3,13.0661,12.89621321,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
84,4_1_2,Butyl phenyl ether,35,4,13.0137,12.84449452,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
85,4_1_2,Butyl phenyl ether,35,5,13.0259,12.8565359,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
86,4_1_2,Butyl phenyl ether,30,1,22.2646,21.97511336,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
87,4_1_2,Butyl phenyl ether,30,2,22.2504,21.96109799,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
88,4_1_2,Butyl phenyl ether,30,3,22.1646,21.87641357,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
89,4_1_2,Butyl phenyl ether,30,4,22.2578,21.96840178,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
90,4_1_2,Butyl phenyl ether,30,5,22.2608,21.97136277,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
91,4_1_2,toluene,60,1,0.954241,0.94183386,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
92,4_1_2,toluene,60,2,0.936609,0.924431113,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
93,4_1_2,toluene,60,3,0.933981,0.921837282,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
