index,SessionName,Compound,phi,n,k,kCorrected,tM,kRef,kTol,Date,FlowRate,Temperature,Column_Manufacturer,Column_Brand,Column_Phase,Column_ParticleSize,Column_PoreSize,Column_Length,Column_InnerDiameter,Column_SerialNumber
3619,13_1_2,benzonitrile,35,4,2.98058,3.617496683,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3620,13_1_2,benzonitrile,35,5,2.98175,3.618916699,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3621,13_1_2,benzonitrile,30,1,4.08973,4.963659661,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3622,13_1_2,benzonitrile,30,2,4.05036,4.915876731,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3623,13_1_2,benzonitrile,30,3,4.04418,4.908376134,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3624,13_1_2,benzonitrile,30,4,4.06897,4.93846348,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3625,13_1_2,benzonitrile,30,5,4.05732,4.924324005,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3626,13_1_2,benzonitrile,25,1,5.53205,6.714187349,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3627,13_1_2,benzonitrile,25,2,5.53401,6.716566179,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3628,13_1_2,benzonitrile,25,3,5.56377,6.752685559,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3629,13_1_2,benzonitrile,25,4,5.53502,6.717792004,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3630,13_1_2,benzonitrile,25,5,5.53972,6.723496342,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
